"ID","QUANTITY","AVAILABILITY_CODE","MINIMUMQUANTITY","CREATED_BYUSER","CREATED_AT","MODIFIED_BYUSER","MODIFIED_AT"
"0f839a4f-0e62-4433-8d85-92af0842562d","94","3","37","rudolf.platte@itelo.info","2001-03-26T05:15:01","anna.lerch@itelo.info","2014-12-30T04:07:23"
"d4beccfc-4f6f-432b-bdcc-00908b34afc7","91","3","25","kimuray@itelo.info","2001-04-28T07:01:08","frank.brown@itelo.info","2016-01-27T10:20:19"
"41b22e74-cb28-48e8-9a19-71a5b193fa8e","98","3","33","paul.burke@itelo.info","2001-11-26T14:20:10","franco.fall@itelo.info","2008-05-03T13:20:18"
"a809a0e3-44ad-458b-ab3d-348701672803","122","3","44","kimuray@itelo.info","2001-03-06T08:04:19","hermann.hecker@itelo.info","2010-10-21T17:23:03"
"251c563f-af56-477a-bbd6-18336e97619c","57","3","23","viola.gains@itelo.info","2001-12-03T06:16:23","fisher.richard@itelo.info","2016-12-20T10:15:09"
"df4a1773-e4a7-40e4-9cd9-b322b716e9bd","150","3","13","john.smith@itelo.info","2001-04-13T07:16:12","sue.bay@itelo.info","2012-12-01T12:17:12"
"5599a67b-d1b4-4099-a224-66df148210ac","61","3","29","susan.summer@itelo.info","2001-11-20T12:00:10","michael.miller@itelo.info","2007-09-11T22:22:09"
"a64a8a7b-6682-4764-a5be-1912417de7a7","132","3","11","perezcf@itelo.info","2001-11-08T02:02:06","hermann.hecker@itelo.info","2013-04-01T08:09:13"
"3552e3c3-0a31-41cb-93dc-9fd3b4116ec7","40","2","47","james.field@itelo.info","2001-03-15T12:03:12","karl.kessler@itelo.info","2006-03-21T22:18:12"
"f576ac17-a851-4554-8114-1cbf1421fef1","122","3","36","franco.fall@itelo.info","2001-01-27T18:00:03","joanne.rush@itelo.info","2008-05-03T13:20:18"
"3653aa3b-4cea-4c7f-bd48-638795840480","91","3","38","barbara.ingalls@itelo.info","2001-12-18T05:08:23","james.smith@itelo.info","2005-12-26T03:01:08"
"b1ab13ed-1514-4177-a710-ba25baaf6e5e","107","3","18","randy.gordon@itelo.info","2001-11-18T23:15:07","al.wallace@itelo.info","2016-12-20T10:15:09"
"5376ceae-4c3c-464a-9819-75d3c974b1bc","112","3","44","nam.huik@itelo.info","2001-12-27T19:09:03","james.smith@itelo.info","2016-12-20T10:15:09"
"ec1d2abd-e6c8-49c0-a4ce-4e10b55f91e0","96","3","35","anna.lerch@itelo.info","2001-05-28T11:20:21","carol.aranda@itelo.info","2016-08-28T23:06:05"
"5624d81b-f963-44b9-a8ac-2ad60e14e15e","94","3","40","kimuray@itelo.info","2001-04-24T08:13:10","paul.burke@itelo.info","2007-08-12T06:01:02"
"fed385e6-5231-41c6-970b-e8cb735c31a5","43","3","10","michael.miller@itelo.info","2001-12-19T09:09:10","megan.wang@itelo.info","2007-08-12T06:01:02"
"84e75882-ee42-42ca-bcb8-53d223402c49","0","1","1","carol.aranda@itelo.info","2001-03-15T15:11:21","john.nicols@itelo.info","2012-07-04T22:19:15"
